CustomerID,Status,Annual Income ($),Spending Score (1-100),Work Experience,Customer size,Founded,Number of employees,Country
1.0,Private,15000.0,39.0,1.0,4.0,1988,3930,Allemagne
2.0,Private,35000.0,81.0,3.0,3.0,2018,7871,France
3.0,Public,86000.0,6.0,1.0,1.0,2003,3095,Suède
4.0,Public,59000.0,77.0,0.0,2.0,1989,5422,Norvège
5.0,Public,38000.0,40.0,2.0,6.0,2013,3135,Finlande
6.0,Public,58000.0,76.0,0.0,2.0,1978,7233,Pays-Bas
7.0,Public,31000.0,6.0,1.0,3.0,2005,6022,Royaume-Uni
8.0,Public,84000.0,94.0,1.0,3.0,2015,4580,États-Unis
9.0,Private,97000.0,3.0,0.0,3.0,1979,3245,Canada
10.0,Public,98000.0,72.0,1.0,4.0,1985,1785,Chine
11.0,Private,7000.0,14.0,1.0,3.0,1972,2985,Inde
12.0,Public,93000.0,99.0,4.0,4.0,1997,839,Germany
13.0,Public,80000.0,15.0,0.0,5.0,2021,3135,USA
14.0,Public,91000.0,77.0,1.0,1.0,2014,7261,Canada
15.0,Private,19000.0,13.0,0.0,1.0,1971,2427,India
16.0,Private,51000.0,79.0,1.0,2.0,1981,6477,Allemagne
17.0,Public,29000.0,35.0,9.0,5.0,1994,4263,France
18.0,Private,89000.0,66.0,1.0,6.0,2004,2546,Suède
19.0,Private,20000.0,29.0,1.0,4.0,2019,219,Norvège
20.0,Public,62000.0,98.0,0.0,1.0,1979,581,Finlande
21.0,Private,96000.0,35.0,12.0,1.0,2004,6796,Pays-Bas
22.0,Private,4000.0,73.0,3.0,4.0,2015,7859,Royaume-Uni
23.0,Public,42000.0,5.0,13.0,2.0,1998,3670,États-Unis
24.0,Private,71000.0,73.0,5.0,2.0,2019,236,Canada
25.0,Public,67000.0,14.0,1.0,3.0,1987,8044,Chine
26.0,Private,52000.0,82.0,1.0,3.0,1994,4905,Inde
27.0,Public,68000.0,32.0,9.0,8.0,2014,1996,Germany
28.0,Private,78000.0,61.0,1.0,3.0,2014,4214,USA
29.0,Public,18000.0,31.0,0.0,1.0,1986,9958,Canada
30.0,Public,20000.0,87.0,5.0,4.0,2017,1884,India
31.0,Private,39000.0,4.0,0.0,3.0,1994,6377,Allemagne
32.0,Public,34000.0,73.0,1.0,2.0,1979,358,France
33.0,Private,59000.0,4.0,1.0,3.0,2001,5154,Suède
34.0,Private,62000.0,92.0,9.0,7.0,1970,6153,Norvège
35.0,Public,91000.0,14.0,1.0,2.0,1976,3528,Finlande
36.0,Public,95000.0,81.0,3.0,4.0,1985,554,Pays-Bas
37.0,Public,14000.0,17.0,5.0,1.0,1988,7554,Royaume-Uni
38.0,Public,62000.0,73.0,1.0,5.0,2019,7372,États-Unis
39.0,Public,9000.0,26.0,8.0,2.0,1994,1250,Canada
40.0,Public,69000.0,75.0,8.0,2.0,1999,8480,Chine
41.0,Public,25000.0,35.0,4.0,1.0,1973,8563,Inde
42.0,Private,85000.0,92.0,0.0,2.0,2005,1945,Germany
43.0,Private,22000.0,36.0,14.0,3.0,1981,4564,USA
44.0,Public,33000.0,61.0,1.0,2.0,2015,6378,Canada
45.0,Public,72000.0,28.0,8.0,1.0,1987,3133,India
46.0,Public,3000.0,65.0,4.0,2.0,1983,6087,Allemagne
47.0,Public,52000.0,55.0,0.0,4.0,2017,1263,France
48.0,Public,71000.0,47.0,12.0,1.0,1975,5380,Suède
49.0,Public,78000.0,42.0,0.0,4.0,2001,6366,Norvège
50.0,Public,25000.0,42.0,1.0,1.0,1974,4156,Finlande
51.0,Public,88000.0,52.0,1.0,2.0,1974,5598,Pays-Bas
52.0,Private,97000.0,60.0,1.0,2.0,2001,2284,Royaume-Uni
53.0,Public,74000.0,54.0,1.0,1.0,1999,6323,États-Unis
54.0,Private,68000.0,60.0,0.0,2.0,1978,6250,Canada
55.0,Public,18000.0,45.0,1.0,1.0,1975,8809,Chine
56.0,Private,95000.0,41.0,14.0,2.0,1997,7426,Inde
57.0,Public,71000.0,50.0,9.0,4.0,2013,4880,Germany
58.0,Private,8000.0,46.0,8.0,2.0,1998,6338,USA
59.0,Public,57000.0,51.0,1.0,3.0,2003,5762,Canada
60.0,Private,89000.0,46.0,1.0,6.0,2009,1210,India
61.0,Private,84000.0,56.0,0.0,2.0,1973,3033,Allemagne
62.0,Private,50000.0,55.0,9.0,2.0,1974,9935,France
63.0,Public,50000.0,52.0,0.0,3.0,1994,5896,Suède
64.0,Public,48000.0,59.0,1.0,2.0,2011,8205,Norvège
65.0,Private,63000.0,51.0,7.0,2.0,1985,4353,Finlande
66.0,Private,9000.0,59.0,0.0,2.0,1986,3432,Pays-Bas
67.0,Public,3000.0,50.0,0.0,2.0,1978,6309,Royaume-Uni
68.0,Public,82000.0,48.0,8.0,4.0,1987,6900,États-Unis
69.0,Private,81000.0,59.0,0.0,4.0,1970,3331,Canada
70.0,Public,97000.0,47.0,2.0,2.0,1985,7777,Chine
